AgencyName,ArrestYear,ArrestDescription,AdultOrJuvenile,Category,County,months_submitted,refreshdate,ArrestCount
Adams Co SO,2015, ,Adult,Grand total,Adams,12,4/29/2020,700
Adams Co SO,2015, ,Juvenile,Grand total,Adams,12,4/29/2020,84
Adams Co SO,2015, ,Total,Grand total,Adams,12,4/29/2020,784
Adams Co SO,2015,Aggravated Assault,Adult,Violent Crimes,Adams,12,4/29/2020,23
Adams Co SO,2015,Aggravated Assault,Juvenile,Violent Crimes,Adams,12,4/29/2020,0
Adams Co SO,2015,Aggravated Assault,Total,Violent Crimes,Adams,12,4/29/2020,23
Adams Co SO,2015,All Other Offenses,Adult,Other Crimes,Adams,12,4/29/2020,165
Adams Co SO,2015,All Other Offenses,Juvenile,Other Crimes,Adams,12,4/29/2020,4
Adams Co SO,2015,All Other Offenses,Total,Other Crimes,Adams,12,4/29/2020,169
Adams Co SO,2015,Arson,Adult,Property Crimes,Adams,12,4/29/2020,1
Adams Co SO,2015,Arson,Juvenile,Property Crimes,Adams,12,4/29/2020,0
Adams Co SO,2015,Arson,Total,Property Crimes,Adams,12,4/29/2020,1
Adams Co SO,2015,Burglary,Adult,Property Crimes,Adams,12,4/29/2020,25
Adams Co SO,2015,Burglary,Juvenile,Property Crimes,Adams,12,4/29/2020,0
Adams Co SO,2015,Burglary,Total,Property Crimes,Adams,12,4/29/2020,25
Adams Co SO,2015,Curfew/Loitering Violations,Adult,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2015,Curfew/Loitering Violations,Juvenile,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2015,Curfew/Loitering Violations,Total,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2015,Disorderly Conduct,Adult,Society Crimes,Adams,12,4/29/2020,85
Adams Co SO,2015,Disorderly Conduct,Juvenile,Society Crimes,Adams,12,4/29/2020,35
Adams Co SO,2015,Disorderly Conduct,Total,Society Crimes,Adams,12,4/29/2020,120
Adams Co SO,2015,Driving Under the Influence,Adult,Society Crimes,Adams,12,4/29/2020,95
Adams Co SO,2015,Driving Under the Influence,Juvenile,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2015,Driving Under the Influence,Total,Society Crimes,Adams,12,4/29/2020,95
Adams Co SO,2015,Drug - Unknown,Adult,Drug Crimes,Adams,12,4/29/2020,0
Adams Co SO,2015,Drug - Unknown,Juvenile,Drug Crimes,Adams,12,4/29/2020,0
Adams Co SO,2015,Drug - Unknown,Total,Drug Crimes,Adams,12,4/29/2020,0
Adams Co SO,2015,Drug Possession - Marijuana,Adult,Drug Crimes,Adams,12,4/29/2020,37
Adams Co SO,2015,Drug Possession - Marijuana,Juvenile,Drug Crimes,Adams,12,4/29/2020,5
Adams Co SO,2015,Drug Possession - Marijuana,Total,Drug Crimes,Adams,12,4/29/2020,42
Adams Co SO,2015,Drug Possession - Opium/Cocaine,Adult,Drug Crimes,Adams,12,4/29/2020,2
Adams Co SO,2015,Drug Possession - Opium/Cocaine,Juvenile,Drug Crimes,Adams,12,4/29/2020,0
Adams Co SO,2015,Drug Possession - Opium/Cocaine,Total,Drug Crimes,Adams,12,4/29/2020,2
Adams Co SO,2015,Drug Possession - Other Dangerous,Adult,Drug Crimes,Adams,12,4/29/2020,10
Adams Co SO,2015,Drug Possession - Other Dangerous,Juvenile,Drug Crimes,Adams,12,4/29/2020,0
Adams Co SO,2015,Drug Possession - Other Dangerous,Total,Drug Crimes,Adams,12,4/29/2020,10
Adams Co SO,2015,Drug Possession - Synthetic,Adult,Drug Crimes,Adams,12,4/29/2020,2
Adams Co SO,2015,Drug Possession - Synthetic,Juvenile,Drug Crimes,Adams,12,4/29/2020,0
Adams Co SO,2015,Drug Possession - Synthetic,Total,Drug Crimes,Adams,12,4/29/2020,2
Adams Co SO,2015,Drug Sale - Marijuana,Adult,Drug Crimes,Adams,12,4/29/2020,5
Adams Co SO,2015,Drug Sale - Marijuana,Juvenile,Drug Crimes,Adams,12,4/29/2020,0
Adams Co SO,2015,Drug Sale - Marijuana,Total,Drug Crimes,Adams,12,4/29/2020,5
Adams Co SO,2015,Drug Sale - Opium/Cocaine,Adult,Drug Crimes,Adams,12,4/29/2020,5
Adams Co SO,2015,Drug Sale - Opium/Cocaine,Juvenile,Drug Crimes,Adams,12,4/29/2020,0
Adams Co SO,2015,Drug Sale - Opium/Cocaine,Total,Drug Crimes,Adams,12,4/29/2020,5
Adams Co SO,2015,Drug Sale - Other Dangerous,Adult,Drug Crimes,Adams,12,4/29/2020,10
Adams Co SO,2015,Drug Sale - Other Dangerous,Juvenile,Drug Crimes,Adams,12,4/29/2020,1
Adams Co SO,2015,Drug Sale - Other Dangerous,Total,Drug Crimes,Adams,12,4/29/2020,11
Adams Co SO,2015,Drug Sale - Synthetic,Adult,Drug Crimes,Adams,12,4/29/2020,1
Adams Co SO,2015,Drug Sale - Synthetic,Juvenile,Drug Crimes,Adams,12,4/29/2020,0
Adams Co SO,2015,Drug Sale - Synthetic,Total,Drug Crimes,Adams,12,4/29/2020,1
Adams Co SO,2015,Embezzlement,Adult,Property Crimes,Adams,12,4/29/2020,0
Adams Co SO,2015,Embezzlement,Juvenile,Property Crimes,Adams,12,4/29/2020,0
Adams Co SO,2015,Embezzlement,Total,Property Crimes,Adams,12,4/29/2020,0
Adams Co SO,2015,Forgery & Counterfeiting,Adult,Property Crimes,Adams,12,4/29/2020,2
Adams Co SO,2015,Forgery & Counterfeiting,Juvenile,Property Crimes,Adams,12,4/29/2020,0
Adams Co SO,2015,Forgery & Counterfeiting,Total,Property Crimes,Adams,12,4/29/2020,2
Adams Co SO,2015,Fraud,Adult,Property Crimes,Adams,12,4/29/2020,6
Adams Co SO,2015,Fraud,Juvenile,Property Crimes,Adams,12,4/29/2020,0
Adams Co SO,2015,Fraud,Total,Property Crimes,Adams,12,4/29/2020,6
Adams Co SO,2015,Gambling,Adult,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2015,Gambling,Juvenile,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2015,Gambling,Total,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2015,Larceny Theft,Adult,Property Crimes,Adams,12,4/29/2020,36
Adams Co SO,2015,Larceny Theft,Juvenile,Property Crimes,Adams,12,4/29/2020,2
Adams Co SO,2015,Larceny Theft,Total,Property Crimes,Adams,12,4/29/2020,38
Adams Co SO,2015,Liquor Laws,Adult,Society Crimes,Adams,12,4/29/2020,13
Adams Co SO,2015,Liquor Laws,Juvenile,Society Crimes,Adams,12,4/29/2020,4
Adams Co SO,2015,Liquor Laws,Total,Society Crimes,Adams,12,4/29/2020,17
Adams Co SO,2015,Manslaughter by Negligence,Adult,Other Crimes,Adams,12,4/29/2020,0
Adams Co SO,2015,Manslaughter by Negligence,Juvenile,Other Crimes,Adams,12,4/29/2020,0
Adams Co SO,2015,Manslaughter by Negligence,Total,Other Crimes,Adams,12,4/29/2020,0
Adams Co SO,2015,Motor Vehicle Theft,Adult,Property Crimes,Adams,12,4/29/2020,6
Adams Co SO,2015,Motor Vehicle Theft,Juvenile,Property Crimes,Adams,12,4/29/2020,0
Adams Co SO,2015,Motor Vehicle Theft,Total,Property Crimes,Adams,12,4/29/2020,6
Adams Co SO,2015,Murder & Nonnegligent Manslaughter,Adult,Violent Crimes,Adams,12,4/29/2020,4
Adams Co SO,2015,Murder & Nonnegligent Manslaughter,Juvenile,Violent Crimes,Adams,12,4/29/2020,0
Adams Co SO,2015,Murder & Nonnegligent Manslaughter,Total,Violent Crimes,Adams,12,4/29/2020,4
Adams Co SO,2015,Offenses Against Family and Children,Adult,Other Crimes,Adams,12,4/29/2020,7
Adams Co SO,2015,Offenses Against Family and Children,Juvenile,Other Crimes,Adams,12,4/29/2020,3
Adams Co SO,2015,Offenses Against Family and Children,Total,Other Crimes,Adams,12,4/29/2020,10
Adams Co SO,2015,Prostitution & Commercialized Vice,Adult,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2015,Prostitution & Commercialized Vice,Juvenile,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2015,Prostitution & Commercialized Vice,Total,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2015,Rape - prior to 2017,Adult,Violent Crimes,Adams,12,4/29/2020,3
Adams Co SO,2015,Rape - prior to 2017,Juvenile,Violent Crimes,Adams,12,4/29/2020,3
Adams Co SO,2015,Rape - prior to 2017,Total,Violent Crimes,Adams,12,4/29/2020,6
Adams Co SO,2015,Robbery,Adult,Violent Crimes,Adams,12,4/29/2020,2
