AgencyName,ArrestYear,ArrestDescription,AdultOrJuvenile,Category,County,months_submitted,refreshdate,ArrestCount
Adams Co SO,2017, ,Adult,Grand total,Adams,12,4/29/2020,724
Adams Co SO,2017, ,Juvenile,Grand total,Adams,12,4/29/2020,138
Adams Co SO,2017, ,Total,Grand total,Adams,12,4/29/2020,862
Adams Co SO,2017,Aggravated Assault,Adult,Violent Crimes,Adams,12,4/29/2020,16
Adams Co SO,2017,Aggravated Assault,Juvenile,Violent Crimes,Adams,12,4/29/2020,2
Adams Co SO,2017,Aggravated Assault,Total,Violent Crimes,Adams,12,4/29/2020,18
Adams Co SO,2017,All Other Offenses,Adult,Other Crimes,Adams,12,4/29/2020,217
Adams Co SO,2017,All Other Offenses,Juvenile,Other Crimes,Adams,12,4/29/2020,11
Adams Co SO,2017,All Other Offenses,Total,Other Crimes,Adams,12,4/29/2020,228
Adams Co SO,2017,Arson,Adult,Property Crimes,Adams,12,4/29/2020,0
Adams Co SO,2017,Arson,Juvenile,Property Crimes,Adams,12,4/29/2020,0
Adams Co SO,2017,Arson,Total,Property Crimes,Adams,12,4/29/2020,0
Adams Co SO,2017,Burglary,Adult,Property Crimes,Adams,12,4/29/2020,19
Adams Co SO,2017,Burglary,Juvenile,Property Crimes,Adams,12,4/29/2020,6
Adams Co SO,2017,Burglary,Total,Property Crimes,Adams,12,4/29/2020,25
Adams Co SO,2017,Curfew/Loitering Violations,Adult,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2017,Curfew/Loitering Violations,Juvenile,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2017,Curfew/Loitering Violations,Total,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2017,Disorderly Conduct,Adult,Society Crimes,Adams,12,4/29/2020,92
Adams Co SO,2017,Disorderly Conduct,Juvenile,Society Crimes,Adams,12,4/29/2020,39
Adams Co SO,2017,Disorderly Conduct,Total,Society Crimes,Adams,12,4/29/2020,131
Adams Co SO,2017,Driving Under the Influence,Adult,Society Crimes,Adams,12,4/29/2020,77
Adams Co SO,2017,Driving Under the Influence,Juvenile,Society Crimes,Adams,12,4/29/2020,1
Adams Co SO,2017,Driving Under the Influence,Total,Society Crimes,Adams,12,4/29/2020,78
Adams Co SO,2017,Drug - Unknown,Adult,Drug Crimes,Adams,12,4/29/2020,0
Adams Co SO,2017,Drug - Unknown,Juvenile,Drug Crimes,Adams,12,4/29/2020,0
Adams Co SO,2017,Drug - Unknown,Total,Drug Crimes,Adams,12,4/29/2020,0
Adams Co SO,2017,Drug Possession - Marijuana,Adult,Drug Crimes,Adams,12,4/29/2020,25
Adams Co SO,2017,Drug Possession - Marijuana,Juvenile,Drug Crimes,Adams,12,4/29/2020,3
Adams Co SO,2017,Drug Possession - Marijuana,Total,Drug Crimes,Adams,12,4/29/2020,28
Adams Co SO,2017,Drug Possession - Opium/Cocaine,Adult,Drug Crimes,Adams,12,4/29/2020,1
Adams Co SO,2017,Drug Possession - Opium/Cocaine,Juvenile,Drug Crimes,Adams,12,4/29/2020,0
Adams Co SO,2017,Drug Possession - Opium/Cocaine,Total,Drug Crimes,Adams,12,4/29/2020,1
Adams Co SO,2017,Drug Possession - Other Dangerous,Adult,Drug Crimes,Adams,12,4/29/2020,24
Adams Co SO,2017,Drug Possession - Other Dangerous,Juvenile,Drug Crimes,Adams,12,4/29/2020,2
Adams Co SO,2017,Drug Possession - Other Dangerous,Total,Drug Crimes,Adams,12,4/29/2020,26
Adams Co SO,2017,Drug Possession - Synthetic,Adult,Drug Crimes,Adams,12,4/29/2020,5
Adams Co SO,2017,Drug Possession - Synthetic,Juvenile,Drug Crimes,Adams,12,4/29/2020,3
Adams Co SO,2017,Drug Possession - Synthetic,Total,Drug Crimes,Adams,12,4/29/2020,8
Adams Co SO,2017,Drug Sale - Marijuana,Adult,Drug Crimes,Adams,12,4/29/2020,3
Adams Co SO,2017,Drug Sale - Marijuana,Juvenile,Drug Crimes,Adams,12,4/29/2020,1
Adams Co SO,2017,Drug Sale - Marijuana,Total,Drug Crimes,Adams,12,4/29/2020,4
Adams Co SO,2017,Drug Sale - Opium/Cocaine,Adult,Drug Crimes,Adams,12,4/29/2020,1
Adams Co SO,2017,Drug Sale - Opium/Cocaine,Juvenile,Drug Crimes,Adams,12,4/29/2020,0
Adams Co SO,2017,Drug Sale - Opium/Cocaine,Total,Drug Crimes,Adams,12,4/29/2020,1
Adams Co SO,2017,Drug Sale - Other Dangerous,Adult,Drug Crimes,Adams,12,4/29/2020,10
Adams Co SO,2017,Drug Sale - Other Dangerous,Juvenile,Drug Crimes,Adams,12,4/29/2020,0
Adams Co SO,2017,Drug Sale - Other Dangerous,Total,Drug Crimes,Adams,12,4/29/2020,10
Adams Co SO,2017,Drug Sale - Synthetic,Adult,Drug Crimes,Adams,12,4/29/2020,5
Adams Co SO,2017,Drug Sale - Synthetic,Juvenile,Drug Crimes,Adams,12,4/29/2020,0
Adams Co SO,2017,Drug Sale - Synthetic,Total,Drug Crimes,Adams,12,4/29/2020,5
Adams Co SO,2017,Embezzlement,Adult,Property Crimes,Adams,12,4/29/2020,0
Adams Co SO,2017,Embezzlement,Juvenile,Property Crimes,Adams,12,4/29/2020,0
Adams Co SO,2017,Embezzlement,Total,Property Crimes,Adams,12,4/29/2020,0
Adams Co SO,2017,Forgery & Counterfeiting,Adult,Property Crimes,Adams,12,4/29/2020,2
Adams Co SO,2017,Forgery & Counterfeiting,Juvenile,Property Crimes,Adams,12,4/29/2020,0
Adams Co SO,2017,Forgery & Counterfeiting,Total,Property Crimes,Adams,12,4/29/2020,2
Adams Co SO,2017,Fraud,Adult,Property Crimes,Adams,12,4/29/2020,8
Adams Co SO,2017,Fraud,Juvenile,Property Crimes,Adams,12,4/29/2020,0
Adams Co SO,2017,Fraud,Total,Property Crimes,Adams,12,4/29/2020,8
Adams Co SO,2017,Gambling,Adult,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2017,Gambling,Juvenile,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2017,Gambling,Total,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2017,Larceny Theft,Adult,Property Crimes,Adams,12,4/29/2020,35
Adams Co SO,2017,Larceny Theft,Juvenile,Property Crimes,Adams,12,4/29/2020,8
Adams Co SO,2017,Larceny Theft,Total,Property Crimes,Adams,12,4/29/2020,43
Adams Co SO,2017,Liquor Laws,Adult,Society Crimes,Adams,12,4/29/2020,4
Adams Co SO,2017,Liquor Laws,Juvenile,Society Crimes,Adams,12,4/29/2020,5
Adams Co SO,2017,Liquor Laws,Total,Society Crimes,Adams,12,4/29/2020,9
Adams Co SO,2017,Manslaughter by Negligence,Adult,Other Crimes,Adams,12,4/29/2020,1
Adams Co SO,2017,Manslaughter by Negligence,Juvenile,Other Crimes,Adams,12,4/29/2020,0
Adams Co SO,2017,Manslaughter by Negligence,Total,Other Crimes,Adams,12,4/29/2020,1
Adams Co SO,2017,Motor Vehicle Theft,Adult,Property Crimes,Adams,12,4/29/2020,6
Adams Co SO,2017,Motor Vehicle Theft,Juvenile,Property Crimes,Adams,12,4/29/2020,5
Adams Co SO,2017,Motor Vehicle Theft,Total,Property Crimes,Adams,12,4/29/2020,11
Adams Co SO,2017,Murder & Nonnegligent Manslaughter,Adult,Violent Crimes,Adams,12,4/29/2020,7
Adams Co SO,2017,Murder & Nonnegligent Manslaughter,Juvenile,Violent Crimes,Adams,12,4/29/2020,0
Adams Co SO,2017,Murder & Nonnegligent Manslaughter,Total,Violent Crimes,Adams,12,4/29/2020,7
Adams Co SO,2017,Offenses Against Family and Children,Adult,Other Crimes,Adams,12,4/29/2020,14
Adams Co SO,2017,Offenses Against Family and Children,Juvenile,Other Crimes,Adams,12,4/29/2020,0
Adams Co SO,2017,Offenses Against Family and Children,Total,Other Crimes,Adams,12,4/29/2020,14
Adams Co SO,2017,Prostitution & Commercialized Vice,Adult,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2017,Prostitution & Commercialized Vice,Juvenile,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2017,Prostitution & Commercialized Vice,Total,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2017,Rape - 2017,Adult,Violent Crimes,Adams,12,4/29/2020,15
Adams Co SO,2017,Rape - 2017,Juvenile,Violent Crimes,Adams,12,4/29/2020,7
Adams Co SO,2017,Rape - 2017,Total,Violent Crimes,Adams,12,4/29/2020,22
Adams Co SO,2017,Robbery,Adult,Violent Crimes,Adams,12,4/29/2020,0
Adams Co SO,2017,Robbery,Juvenile,Violent Crimes,Adams,12,4/29/2020,0
Adams Co SO,2017,Robbery,Total,Violent Crimes,Adams,12,4/29/2020,0
Adams Co SO,2017,Sex Offenses - 2017,Adult,Society Crimes,Adams,12,4/29/2020,6
Adams Co SO,2017,Sex Offenses - 2017,Juvenile,Society Crimes,Adams,12,4/29/2020,9
Adams Co SO,2017,Sex Offenses - 2017,Total,Society Crimes,Adams,12,4/29/2020,15
Adams Co SO,2017,Simple Assault,Adult,Other Crimes,Adams,12,4/29/2020,101
Adams Co SO,2017,Simple Assault,Juvenile,Other Crimes,Adams,12,4/29/2020,18
Adams Co SO,2017,Simple Assault,Total,Other Crimes,Adams,12,4/29/2020,119
Adams Co SO,2017,Stolen Property,Adult,Property Crimes,Adams,12,4/29/2020,2
Adams Co SO,2017,Stolen Property,Juvenile,Property Crimes,Adams,12,4/29/2020,0
Adams Co SO,2017,Stolen Property,Total,Property Crimes,Adams,12,4/29/2020,2
Adams Co SO,2017,Vagrancy Violations,Adult,Society Crimes,Adams,12,4/29/2020,0
