AgencyName,ArrestYear,ArrestDescription,AdultOrJuvenile,Category,County,months_submitted,refreshdate,ArrestCount
Adams Co SO,2019, ,Adult,Grand total,Adams,12,4/29/2020,626
Adams Co SO,2019, ,Juvenile,Grand total,Adams,12,4/29/2020,166
Adams Co SO,2019, ,Total,Grand total,Adams,12,4/29/2020,792
Adams Co SO,2019,Aggravated Assault,Adult,Violent Crimes,Adams,12,4/29/2020,24
Adams Co SO,2019,Aggravated Assault,Juvenile,Violent Crimes,Adams,12,4/29/2020,3
Adams Co SO,2019,Aggravated Assault,Total,Violent Crimes,Adams,12,4/29/2020,27
Adams Co SO,2019,All Other Offenses,Adult,Other Crimes,Adams,12,4/29/2020,183
Adams Co SO,2019,All Other Offenses,Juvenile,Other Crimes,Adams,12,4/29/2020,13
Adams Co SO,2019,All Other Offenses,Total,Other Crimes,Adams,12,4/29/2020,196
Adams Co SO,2019,Arson,Adult,Property Crimes,Adams,12,4/29/2020,1
Adams Co SO,2019,Arson,Juvenile,Property Crimes,Adams,12,4/29/2020,0
Adams Co SO,2019,Arson,Total,Property Crimes,Adams,12,4/29/2020,1
Adams Co SO,2019,Burglary,Adult,Property Crimes,Adams,12,4/29/2020,21
Adams Co SO,2019,Burglary,Juvenile,Property Crimes,Adams,12,4/29/2020,9
Adams Co SO,2019,Burglary,Total,Property Crimes,Adams,12,4/29/2020,30
Adams Co SO,2019,Curfew/Loitering Violations,Adult,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2019,Curfew/Loitering Violations,Juvenile,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2019,Curfew/Loitering Violations,Total,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2019,Disorderly Conduct,Adult,Society Crimes,Adams,12,4/29/2020,80
Adams Co SO,2019,Disorderly Conduct,Juvenile,Society Crimes,Adams,12,4/29/2020,43
Adams Co SO,2019,Disorderly Conduct,Total,Society Crimes,Adams,12,4/29/2020,123
Adams Co SO,2019,Driving Under the Influence,Adult,Society Crimes,Adams,12,4/29/2020,68
Adams Co SO,2019,Driving Under the Influence,Juvenile,Society Crimes,Adams,12,4/29/2020,0
Adams Co SO,2019,Driving Under the Influence,Total,Society Crimes,Adams,12,4/29/2020,68
Adams Co SO,2019,Drug - Unknown,Adult,Drug Crimes,Adams,12,4/29/2020,0
Adams Co SO,2019,Drug - Unknown,Juvenile,Drug Crimes,Adams,12,4/29/2020,0
Adams Co SO,2019,Drug - Unknown,Total,Drug Crimes,Adams,12,4/29/2020,0
Adams Co SO,2019,Drug Possession - Marijuana,Adult,Drug Crimes,Adams,12,4/29/2020,23
Adams Co SO,2019,Drug Possession - Marijuana,Juvenile,Drug Crimes,Adams,12,4/29/2020,10
Adams Co SO,2019,Drug Possession - Marijuana,Total,Drug Crimes,Adams,12,4/29/2020,33
Adams Co SO,2019,Drug Possession - Opium/Cocaine,Adult,Drug Crimes,Adams,12,4/29/2020,1
Adams Co SO,2019,Drug Possession - Opium/Cocaine,Juvenile,Drug Crimes,Adams,12,4/29/2020,0
Adams Co SO,2019,Drug Possession - Opium/Cocaine,Total,Drug Crimes,Adams,12,4/29/2020,1
Adams Co SO,2019,Drug Possession - Other Dangerous,Adult,Drug Crimes,Adams,12,4/29/2020,16
Adams Co SO,2019,Drug Possession - Other Dangerous,Juvenile,Drug Crimes,Adams,12,4/29/2020,0
